55.3 	140.6 
114.9 	283.7 
85.1 	214.1 
63.6 	159.7 
6.6 	24.7 
60.4 	150.0 
84.4 	209.0 
51.1 	128.2 
147.4 	360.7 
30.5 	80.1 
98.4 	240.4 
76.2 	193.7 
13.3 	44.7 
49.2 	124.5 
73.6 	182.7 
146.6 	357.1 
109.1 	269.1 
10.8 	34.0 
52.2 	132.6 
45.6 	114.9 
136.9 	334.5 
99.0 	245.7 
3.9 	17.9 
3.1 	16.9 
89.6 	223.8 
92.8 	228.1 
76.7 	188.2 
60.6 	152.2 
9.3 	30.7 
39.4 	99.1 
99.5 	243.0 
83.8 	210.2 
110.5 	269.8 
51.9 	129.0 
74.8 	185.4 
59.3 	148.8 
64.6 	164.2 
15.5 	44.3 
105.7 	261.7 
25.3 	66.8 
59.0 	147.9 
148.8 	363.2 
121.3 	298.6 
59.4 	150.3 
50.6 	126.3 
70.3 	173.4 
91.1 	225.3 
100.4 	249.1 
0.9 	12.2 
94.7 	233.4 
50.8 	130.0 
62.2 	152.9 
129.2 	318.2 
72.8 	180.4 
13.9 	38.4 
42.8 	108.6 
74.3 	181.4 
142.2 	349.0 
101.2 	249.0 
75.2 	184.8 
140.0 	344.8 
149.1 	362.3 
68.4 	171.1 
140.9 	343.9 
86.1 	213.9 
49.8 	128.1 
24.7 	69.9 
11.4 	36.0 
72.6 	177.6 
83.6 	207.6 
69.4 	175.1 
92.1 	226.8 
129.8 	318.9 
29.3 	74.7 
71.7 	183.4 
30.5 	80.2 
132.9 	326.1 
47.7 	121.4 
10.2 	33.5 
77.5 	188.2 
119.7 	291.2 
87.4 	216.6 
33.4 	87.7 
18.4 	51.2 
48.1 	122.8 
67.2 	167.9 
114.2 	281.0 
144.0 	351.5 
120.1 	295.3 
86.4 	215.0 
104.6 	256.8 
52.9 	133.9 
66.4 	168.2 
11.4 	34.0 
66.0 	160.3 
44.7 	115.6 
52.8 	134.5 
69.3 	175.1 
63.3 	157.0 
147.0 	357.7 
